2017/04/05 15:40:46 WARN  - jmeter.protocol.http.proxy.Proxy: [3778] Problem with SSL certificate for 'portal-xiva.yandex.net'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2017/04/05 15:40:46 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/04/05 15:41:05 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = USER-4B17A5787A 
2017/04/05 15:41:05 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2017/04/05 15:41:46 WARN  - jmeter.protocol.http.proxy.Proxy: [3842] Problem with SSL certificate for 'portal-xiva.yandex.net'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2017/04/05 15:42:46 WARN  - jmeter.protocol.http.proxy.Proxy: [3864] Problem with SSL certificate for 'portal-xiva.yandex.net'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2017/04/05 15:43:27 INFO  - jmeter.protocol.http.proxy.Daemon: HTTP(S) Test Script Recorder stopped 
2017/04/05 15:43:35 INFO  - jmeter.protocol.http.proxy.ProxyControl: Valid alias found for :root_ca: 
2017/04/05 15:43:35 INFO  - jmeter.protocol.http.proxy.ProxyControl: Valid alias found for :intermediate_ca: 
2017/04/05 15:43:35 INFO  - jmeter.protocol.http.proxy.Daemon: Creating Daemon Socket on port: 8888 
2017/04/05 15:43:35 INFO  - jmeter.protocol.http.proxy.Daemon: Test Script Recorder up and running! 
2017/04/05 15:43:46 WARN  - jmeter.protocol.http.proxy.Proxy: [3869] Problem with SSL certificate for 'portal-xiva.yandex.net'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2017/04/05 15:44:16 INFO  - jmeter.protocol.http.proxy.Daemon: HTTP(S) Test Script Recorder stopped 
2017/04/05 15:44:35 INFO  - jmeter.protocol.http.proxy.ProxyControl: Valid alias found for :root_ca: 
2017/04/05 15:44:35 INFO  - jmeter.protocol.http.proxy.ProxyControl: Valid alias found for :intermediate_ca: 
2017/04/05 15:44:35 INFO  - jmeter.protocol.http.proxy.Daemon: Creating Daemon Socket on port: 8888 
2017/04/05 15:44:35 INFO  - jmeter.protocol.http.proxy.Daemon: Test Script Recorder up and running! 
2017/04/05 15:44:47 WARN  - jmeter.protocol.http.proxy.Proxy: [3888] Problem with SSL certificate for 'portal-xiva.yandex.net'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2017/04/05 15:45:30 INFO  - jmeter.protocol.http.proxy.Daemon: HTTP(S) Test Script Recorder stopped 
2017/04/05 15:45:32 INFO  - jmeter.protocol.http.proxy.ProxyControl: Valid alias found for :root_ca: 
2017/04/05 15:45:32 INFO  - jmeter.protocol.http.proxy.ProxyControl: Valid alias found for :intermediate_ca: 
2017/04/05 15:45:32 INFO  - jmeter.protocol.http.proxy.Daemon: Creating Daemon Socket on port: 8888 
2017/04/05 15:45:32 INFO  - jmeter.protocol.http.proxy.Daemon: Test Script Recorder up and running! 
2017/04/05 15:45:48 WARN  - jmeter.protocol.http.proxy.Proxy: [3969] Problem with SSL certificate for 'portal-xiva.yandex.net'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2017/04/05 15:46:08 INFO  - jmeter.protocol.http.proxy.Daemon: HTTP(S) Test Script Recorder stopped 
2017/04/05 15:46:09 INFO  - jmeter.protocol.http.proxy.ProxyControl: Valid alias found for :root_ca: 
2017/04/05 15:46:09 INFO  - jmeter.protocol.http.proxy.ProxyControl: Valid alias found for :intermediate_ca: 
2017/04/05 15:46:09 INFO  - jmeter.protocol.http.proxy.Daemon: Creating Daemon Socket on port: 8888 
